FEN	Rating
7r/6RN/8/8/5n2/4k3/6P1/6K1 w - - 3 52	1032
r3kb1r/pp5p/2p1p2p/3pQ1q1/2PP4/P7/1P3PPP/RN2K2R w KQkq - 1 13	1398
3Q4/5pk1/5n1p/P7/2r5/4q1PK/6P1/RR6 w - - 0 38	1276
r1b2r2/pp3pkp/1q2pnp1/8/7P/2NB1Q2/P4PP1/2RR2K1 b - - 2 20	1398
r1b5/1p3pP1/p3p1kp/6Q1/2P2P2/3Pn3/PP2B2q/R3K3 b Q - 1 25	870
2k2r2/pp3r2/2pQ3p/2n1p1p1/2P1P3/1P4N1/P4qPP/R2R3K b - - 12 25	1263
1r1q1rk1/ppp2pp1/3pbn1p/3B4/4PP1B/2P1R3/P4P1P/1R1Q2K1 b - - 0 16	1398
2rr2k1/5ppp/pq3n2/2bQ4/1p6/1P4P1/PBN1PP1P/R4RK1 w - - 1 22	1398
4r1k1/5pp1/7p/p7/Pp1R4/1Pq4P/5PP1/3Q2K1 w - - 1 34	1398
8/8/3k1K2/6p1/7p/6rP/4R1P1/8 b - - 3 62	1242
2r3k1/1r3pbp/4p3/ppq1Pp2/2pRnB2/P4P1P/1PN1Q1P1/1R4K1 b - - 0 28	1358
6r1/5B2/p3p2p/1pPb4/1P1k2p1/P5P1/4RP2/6K1 b - - 3 32	1344
5k2/5R2/2p1P3/1p1n3N/p5P1/P1p4P/5K2/1r6 b - - 1 44	1381
1b3rk1/1p3ppp/3q1p2/5N2/1P1B2P1/P2b3P/2r2P2/R2QR1K1 w - - 4 26	849
3r2k1/pp1qbpp1/2p3bp/3n4/P2PN3/1B3P2/1P1Q1BPP/4R1K1 w - - 2 23	1398
2rq1rk1/5p2/p5Pp/1p1bPQ2/2pP4/P1B5/1P4P1/1B2bRK1 b - - 0 33	1149
8/6p1/1pNk1b2/pP3P2/P1K5/8/8/8 w - - 11 46	1398
4r3/2p1ppk1/3p2p1/2nP2Np/4PPbP/pP1Nr3/P1PK1RP1/5B2 b - - 6 39	1398
6k1/p5bp/1pN3p1/3b1p2/3Np3/1P2P3/P4PPP/6K1 b - - 7 29	1398
2krr3/ppp2ppp/8/2b2q2/5B2/nP4P1/P3NPBP/2R1QRK1 w - - 6 18	1080
6k1/5ppp/pp3q2/3P4/2R5/5PQ1/PP2nK1P/4rR2 b - - 4 30	788
3r1r2/7k/p1pp2Rp/4p3/PPP1N2q/2BPP3/7P/6RK b - - 0 31	1290
r2q1rk1/ppn1ppbp/2p2np1/4P3/6b1/2N1BN2/PPPQBPPP/R4RK1 b - - 0 11	1398
2k4r/pp3R2/2R5/q3P1b1/3rp1P1/1Q6/PP4B1/6K1 b - - 0 29	870
3rr1k1/pp6/4q1pQ/P4p2/8/2R2PPP/1P1p2K1/5R2 w - - 0 29	1398
r3k1nr/pp1Q1ppp/3Rp3/8/8/q4p2/5PPP/2R3K1 b - - 1 21	870
8/p4pkp/4b1p1/8/4B3/qP1Q1P2/2PK2PP/8 w - - 0 31	1317
r2q1rk1/1p6/p2p2pp/3Np1b1/3pP1Q1/3P4/PPP1KP2/R6R b - - 1 22	1398
6k1/2r4p/6p1/4bp2/1P6/P2R2PP/2n3K1/2R5 w - - 2 35	1398
5r2/pR3nk1/2p4p/4Q1Np/3p4/3b1P2/q1P3P1/7K b - - 0 27	1063
3r4/5pk1/p3p1p1/1p5p/6n1/1PP1N1P1/P2rPP1P/1R1R1K2 w - - 3 30	1398
r1b3Q1/pp1k1p1p/1qn1p3/3pP3/8/8/PPP1K1PP/RNB2BbR w - - 1 10	910
3rr1k1/2pq1ppp/p1Q5/1p2p3/1P2R3/P5P1/2P2P1P/4R1K1 w - - 6 25	1398
rnbqk2r/1p3p2/p2b1n1p/3Pp1p1/2B1N2B/8/PP3PPP/R2QK1NR w KQkq - 0 11	1398
6k1/3q3p/p2r1p2/3p1bp1/2r5/PQ5P/1P3PB1/3R1RK1 b - - 3 31	1398
1k4r1/1pp5/p4R2/7p/5p2/P1P4P/1P3P1r/4RK2 w - - 2 32	1398
1k1r2nr/ppp3pp/8/4q3/4p1Q1/4P3/PPP1B1PP/R4RK1 w - - 2 16	1398
rn6/pN5Q/1p2R1R1/3p4/3b1q2/kP1P4/P5PP/7K w - - 1 35	1331
3r4/1pp3pp/5k2/4p3/6Q1/P1R2P2/1q1r2PP/2R3K1 w - - 5 28	1093
6k1/5p1p/p4Pp1/1p1pP3/8/1P5P/P3R1PK/3r4 b - - 3 33	1173
r2q1r2/pp1nnpp1/4p1k1/3p2N1/3P2Q1/2P5/PP3PPP/R3R1K1 b - - 3 15	1338
r7/pp1k2pR/2p3Q1/3p2N1/1P6/K1q5/P2R4/5r2 w - - 1 36	849
6rk/1pp2q1p/p6b/3p4/4RP2/2P2Q1P/PP5K/R7 w - - 0 36	1303
8/7P/1k3R2/p6r/5p2/8/6P1/6K1 b - - 1 63	998
rn1q1bnr/pp1k2pp/2p1p1B1/3pp2R/3P2P1/5P2/PPP5/RNBQK1N1 w Q - 2 11	1398
2k1r2r/1bq5/p3nN1p/1p3Qp1/3p4/P2P2P1/1PP2P1P/3RR1K1 b - - 2 26	1398
1r3rk1/pb2ppb1/qp1p1npp/6P1/2PQN2P/2B5/PP2PPB1/R4RK1 b - - 0 16	1107
r4r1k/1b6/p3Qq2/1p1p1pp1/P1pP4/2P1P3/1P4PP/RN3RK1 w - - 1 23	1398
2Q5/2P3pk/2q4p/5p2/4p3/4P1P1/2r2P2/5RK1 b - - 2 38	1127
6R1/8/1p6/1p1p3p/nP1Pp2k/PKP2p2/5P2/8 w - - 4 47	1398
2krRb1r/ppq4p/1np5/5Q2/3P4/P7/1PPB1PPP/R5K1 b - - 4 23	1249
4rk2/2r1b1pb/3PQp1p/8/p5PP/5P2/PP1K4/7R w - - 0 31	1263
8/4k3/4p2R/5p1P/4p1r1/4P2K/5P2/8 w - - 3 44	1398
r4rk1/1p2qppp/p7/3QPb2/2p2P2/8/PPP1B1PP/R4RK1 w - - 1 16	1398
6k1/1p1q1pb1/p3p2p/3nB1p1/3P4/Q4N1P/PPr2PP1/4R1K1 b - - 1 22	1398
8/3k4/8/R1bp1p2/P3np2/1P5P/2P3P1/5K2 w - - 0 42	1276
6k1/R7/p1r2p2/1p2pK2/4P3/P7/1P6/8 b - - 8 50	1283
8/1p4rk/p2Q1Rpp/2p5/2P1B3/1P1P3P/P3n1PK/4q3 w - - 3 37	861
r1bq1r2/ppp1ppbk/2n3pp/4P2n/8/2NB1N2/PPP2PPP/R1BQ1RK1 b - - 0 11	1181
5q2/P1K2p2/5Q1k/6p1/8/8/7p/8 b - - 1 64	1378
6R1/1kp5/1p2r1p1/pP2n3/2P5/6P1/P1N5/3K4 w - - 2 35	1398
5rk1/1Q3pp1/p3b3/3r3p/8/P1R4P/4qPPN/2R3K1 w - - 0 29	1398
r5kR/pppn1rp1/1n2p1Q1/3pP3/3P4/2P1Pq2/PPB5/2K3R1 b - - 2 23	870
8/5pk1/3P2p1/8/4PQ2/6PK/8/3q4 w - - 1 61	1093
r7/1k1b4/2pp2p1/P1p1p1Pp/1nP1Pp1P/1NKP1P2/3N4/R7 b - - 15 45	1398
r5k1/ppQb1pp1/6qp/1P1p4/3P4/4B3/1P3PPP/2R3K1 b - - 2 30	1303
5r2/8/R7/1pkp1rpp/4p3/2P1K3/1P1R1PPP/8 b - - 1 34	1000
2r3k1/1p3pb1/p2p1n1p/3P1Bp1/QP6/P1q2N1P/4RPPK/8 b - - 5 31	1317
8/pp2r2p/4kp1R/3p4/3P4/P2K3P/1P4P1/8 w - - 10 32	1398
r3r2k/6pp/p1p5/3p1Q2/N1pP4/8/PPPBqPPP/R5K1 w - - 1 22	944
r2q1rk1/pb1nbppp/1p2p3/2pp3n/3P1B2/2PBPN2/PP1N1PPP/R2QR1K1 w - - 4 11	1398
5r2/5p1k/2qp1Q1p/2p5/1pP5/1P1P2N1/8/5RK1 w - - 0 35	1188
r3r1k1/ppp2pp1/6b1/3R1n2/q2P2pP/P1B5/1PP2PB1/2KR1Q2 w - - 1 20	1317
